mal_id,type,source,airing,rating,score_by,favorites
1,TV,Original,False,R - 17+ (violence & profanity),1007591,85740
5,Movie,Original,False,R - 17+ (violence & profanity),223321,1688
6,TV,Manga,False,PG-13 - Teens 13 or older,385759,16693
7,TV,Original,False,PG-13 - Teens 13 or older,45093,665
8,TV,Manga,False,PG - Children,6936,16
15,TV,Manga,False,PG-13 - Teens 13 or older,91305,2064
16,TV,Manga,False,PG-13 - Teens 13 or older,85319,4173
17,TV,Manga,False,PG-13 - Teens 13 or older,13882,245
18,TV,Manga,False,PG-13 - Teens 13 or older,112391,1384
19,TV,Manga,False,R+ - Mild Nudity,459472,56882
20,TV,Manga,False,PG-13 - Teens 13 or older,2045379,82525
21,TV,Manga,True,PG-13 - Teens 13 or older,1420954,234954
22,TV,Manga,False,PG-13 - Teens 13 or older,86577,3041
23,TV,Manga,False,PG - Children,1798,3
24,TV,Manga,False,PG-13 - Teens 13 or older,152229,5285
25,TV,Manga,False,R - 17+ (violence & profanity),56674,858
26,TV,Original,False,R+ - Mild Nudity,60192,5336
27,TV,Light novel,False,R - 17+ (violence & profanity),82042,1371
28,TV,Manga,False,PG-13 - Teens 13 or older,42280,927
29,TV,Manga,False,PG-13 - Teens 13 or older,8239,197
30,TV,Original,False,PG-13 - Teens 13 or older,1140922,110987
31,Movie,Original,False,R - 17+ (violence & profanity),150072,765
32,Movie,Original,False,R+ - Mild Nudity,653440,30423
33,TV,Manga,False,R+ - Mild Nudity,381024,29544
43,Movie,Manga,False,R+ - Mild Nudity,344842,13535
44,OVA,Manga,False,R - 17+ (violence & profanity),141003,6352
45,TV,Manga,False,PG-13 - Teens 13 or older,242640,10249
46,Movie,Manga,False,R - 17+ (violence & profanity),28248,95
47,Movie,Manga,False,R+ - Mild Nudity,536593,14327
48,TV,Original,False,PG-13 - Teens 13 or older,86148,1432
49,OVA,Manga,False,PG-13 - Teens 13 or older,27794,257
50,TV,Manga,False,PG-13 - Teens 13 or older,79262,1149
51,OVA,Manga,False,R+ - Mild Nudity,27516,187
52,TV,Manga,False,PG-13 - Teens 13 or older,29669,318
53,TV,Manga,False,PG-13 - Teens 13 or older,54929,473
54,Movie,Manga,False,R - 17+ (violence & profanity),42332,185
55,TV,Game,False,R - 17+ (violence & profanity),6437,14
56,TV,Original,False,R - 17+ (violence & profanity),7294,22
57,TV,Manga,False,R - 17+ (violence & profanity),145469,8782
58,TV,Original,False,R+ - Mild Nudity,31478,442
59,TV,Manga,False,PG-13 - Teens 13 or older,259768,4145
60,TV,Manga,False,R - 17+ (violence & profanity),105911,1941
61,TV,Manga,False,PG-13 - Teens 13 or older,100384,1282
62,TV,Visual novel,False,PG-13 - Teens 13 or older,31340,198
63,TV,Manga,False,R+ - Mild Nudity,81193,360
64,TV,Manga,False,PG-13 - Teens 13 or older,99711,2047
65,TV,Manga,False,PG-13 - Teens 13 or older,60407,464
66,TV,4-koma manga,False,PG-13 - Teens 13 or older,170376,8399
67,TV,Manga,False,R - 17+ (violence & profanity),80089,1435
68,TV,Manga,False,PG-13 - Teens 13 or older,131532,1806
69,TV,Original,False,PG-13 - Teens 13 or older,3392,14
71,TV,Light novel,False,R - 17+ (violence & profanity),246525,4415
72,TV,Light novel,False,PG-13 - Teens 13 or older,178520,2977
73,TV,Light novel,False,R - 17+ (violence & profanity),151166,1298
74,TV,Manga,False,G - All Ages,52990,1489
75,TV,Original,False,PG-13 - Teens 13 or older,15788,273
76,TV,Original,False,PG-13 - Teens 13 or older,43346,1064
77,TV,Original,False,PG-13 - Teens 13 or older,34832,1012
79,TV,Visual novel,False,R+ - Mild Nudity,137671,1465
80,TV,Original,False,PG-13 - Teens 13 or older,63658,2375
81,OVA,Original,False,PG-13 - Teens 13 or older,48862,1161
82,OVA,Original,False,PG-13 - Teens 13 or older,36019,1108
83,Movie,Original,False,PG-13 - Teens 13 or older,7083,4
84,OVA,Original,False,PG-13 - Teens 13 or older,27185,266
85,TV,Original,False,PG-13 - Teens 13 or older,41301,2382
86,TV,Original,False,PG-13 - Teens 13 or older,23543,186
87,Movie,Novel,False,PG-13 - Teens 13 or older,32104,529
88,Movie,Original,False,PG-13 - Teens 13 or older,19098,84
89,TV,Original,False,PG-13 - Teens 13 or older,12091,148
90,TV,Original,False,PG-13 - Teens 13 or older,92155,2415
91,OVA,Original,False,PG-13 - Teens 13 or older,28497,182
92,TV,Original,False,PG-13 - Teens 13 or older,16996,229
93,TV,Original,False,R - 17+ (violence & profanity),99093,3662
94,TV,Original,False,R - 17+ (violence & profanity),67686,1132
95,TV,Original,False,PG-13 - Teens 13 or older,18459,1121
96,TV,Original,False,PG-13 - Teens 13 or older,38949,1059
97,TV,Original,False,PG-13 - Teens 13 or older,72678,1888
98,TV,Original,False,PG-13 - Teens 13 or older,52860,1142
99,TV,Original,False,PG-13 - Teens 13 or older,25991,311
100,TV,Manga,False,PG-13 - Teens 13 or older,29752,444
101,TV,Visual novel,False,PG-13 - Teens 13 or older,156406,2651
102,TV,Manga,False,PG-13 - Teens 13 or older,54652,553
103,TV,Manga,False,G - All Ages,6129,100
104,TV,Manga,False,R - 17+ (violence & profanity),28172,489
105,TV,Manga,False,PG-13 - Teens 13 or older,9844,46
106,TV,Manga,False,PG-13 - Teens 13 or older,26319,815
107,TV,Manga,False,PG-13 - Teens 13 or older,15038,212
108,OVA,Manga,False,PG-13 - Teens 13 or older,5647,26
109,TV,Original,False,PG-13 - Teens 13 or older,32011,238
110,TV,Manga,False,PG-13 - Teens 13 or older,8606,124
111,TV,Original,False,G - All Ages,7618,65
112,TV,Original,False,PG-13 - Teens 13 or older,3623,4
113,TV,Original,False,PG-13 - Teens 13 or older,10104,124
114,TV,Manga,False,PG-13 - Teens 13 or older,56378,1696
115,TV,Original,False,PG-13 - Teens 13 or older,5452,10
116,TV,Original,False,PG-13 - Teens 13 or older,7707,40
117,OVA,Original,False,PG-13 - Teens 13 or older,8491,107
118,OVA,Original,False,PG-13 - Teens 13 or older,4800,6
119,TV,Visual novel,False,PG-13 - Teens 13 or older,18160,49
120,TV,Manga,False,PG-13 - Teens 13 or older,288817,9734
121,TV,Manga,False,R - 17+ (violence & profanity),910259,26282
122,TV,Manga,False,PG-13 - Teens 13 or older,49087,1868
123,TV,Manga,False,PG-13 - Teens 13 or older,53213,2121
124,OVA,Manga,False,PG-13 - Teens 13 or older,9330,38
125,TV,Original,False,PG-13 - Teens 13 or older,16616,26
126,TV,Original,False,PG-13 - Teens 13 or older,12331,83
127,TV,Game,False,PG-13 - Teens 13 or older,9865,61
128,OVA,Game,False,PG-13 - Teens 13 or older,4940,21
129,TV,Manga,False,R - 17+ (violence & profanity),21888,799
130,TV,Manga,False,PG-13 - Teens 13 or older,13944,118
131,TV,Manga,False,PG-13 - Teens 13 or older,8878,48
132,TV,Manga,False,PG-13 - Teens 13 or older,54791,886
133,TV,Visual novel,False,R+ - Mild Nudity,67380,229
134,TV,Manga,False,R - 17+ (violence & profanity),79393,1213
135,TV,Manga,False,PG-13 - Teens 13 or older,65046,2477
136,TV,Manga,False,PG-13 - Teens 13 or older,300322,11540
137,OVA,Manga,False,PG-13 - Teens 13 or older,68377,427
138,OVA,Manga,False,PG-13 - Teens 13 or older,89127,307
139,OVA,Manga,False,PG-13 - Teens 13 or older,81068,250
141,TV,Manga,False,R - 17+ (violence & profanity),4759,12
142,TV,Manga,False,PG-13 - Teens 13 or older,29430,547
143,TV,Manga,False,PG-13 - Teens 13 or older,31363,717
144,TV,Visual novel,False,G - All Ages,28058,222
145,TV,Manga,False,PG-13 - Teens 13 or older,83830,2761
146,TV,Original,False,R+ - Mild Nudity,29430,163
147,TV,Visual novel,False,R+ - Mild Nudity,70022,1079
148,TV,Visual novel,False,PG-13 - Teens 13 or older,3110,10
149,TV,Manga,False,PG-13 - Teens 13 or older,71546,1293
150,TV,Original,False,R - 17+ (violence & profanity),162260,4436
151,OVA,Manga,False,R+ - Mild Nudity,12171,194
